country,year,volume
Republic of South Africa,2000,43
Republic of South Africa,2001,NA
Republic of South Africa,2002,5
Republic of South Africa,2003,NA
Republic of South Africa,2004,NA
Republic of South Africa,2005,NA
Republic of South Africa,2006,NA
Republic of South Africa,2007,NA
Republic of South Africa,2008,NA
Republic of South Africa,2009,NA
Republic of South Africa,2010,NA
Republic of South Africa,2011,NA
Republic of South Africa,2012,NA
Republic of South Africa,2013,NA
Republic of South Africa,2014,NA
Republic of South Africa,2015,NA
Republic of South Africa,2016,NA
Republic of South Africa,2017,NA
Republic of South Africa,2018,NA
Hong Kong,1989,NA
Hong Kong,1990,NA
Hong Kong,1991,NA
Hong Kong,1992,NA
Hong Kong,1993,NA
Hong Kong,1994,NA
Hong Kong,1995,NA
Hong Kong,1996,NA
Hong Kong,1997,NA
Hong Kong,1998,NA
Hong Kong,1999,NA
Hong Kong,2000,NA
Hong Kong,2001,NA
Hong Kong,2002,NA
Hong Kong,2003,NA
Hong Kong,2004,NA
Hong Kong,2005,NA
Hong Kong,2006,NA
Hong Kong,2007,NA
Hong Kong,2008,NA
Hong Kong,2009,NA
Hong Kong,2010,NA
Hong Kong,2011,48
Hong Kong,2012,NA
Hong Kong,2013,NA
Hong Kong,2014,NA
Hong Kong,2015,NA
Hong Kong,2016,NA
Hong Kong,2017,NA
Hong Kong,2018,NA
Namibia,1989,NA
Namibia,1990,NA
Namibia,1991,NA
Namibia,1992,NA
Namibia,1993,NA
Namibia,1994,NA
Namibia,1995,NA
Namibia,1996,NA
Namibia,1997,40
Namibia,1998,NA
Namibia,1999,NA
Namibia,2000,NA
Namibia,2001,NA
Namibia,2002,NA
Namibia,2003,NA
Namibia,2004,NA
Namibia,2005,NA
Namibia,2006,NA
Namibia,2007,NA
Namibia,2008,NA
Namibia,2009,NA
Namibia,2010,NA
Namibia,2011,NA
Namibia,2012,NA
Namibia,2013,NA
Namibia,2014,NA
Namibia,2015,NA
Namibia,2016,NA
Namibia,2017,NA
Namibia,2018,NA
South Korea,1989,NA
South Korea,1990,NA
South Korea,1991,NA
South Korea,1992,NA
South Korea,1993,NA
South Korea,1994,NA
South Korea,1995,NA
South Korea,1996,NA
South Korea,1997,NA
South Korea,1998,NA
South Korea,1999,NA
South Korea,2000,NA
South Korea,2001,NA
South Korea,2002,NA
South Korea,2003,NA
South Korea,2004,NA
South Korea,2005,NA
South Korea,2006,NA
South Korea,2007,NA
South Korea,2008,39
South Korea,2009,NA
South Korea,2010,NA
South Korea,2011,NA
South Korea,2012,NA
South Korea,2013,NA
South Korea,2014,NA
South Korea,2015,NA
South Korea,2016,NA
South Korea,2017,NA
South Korea,2018,NA
Vietnam,1989,NA
Vietnam,1990,NA
Vietnam,1991,NA
Vietnam,1992,NA
Vietnam,1993,NA
Vietnam,1994,NA
Vietnam,1995,NA
Vietnam,1996,NA
Vietnam,1997,NA
Vietnam,1998,NA
Vietnam,1999,1
Vietnam,2000,NA
Vietnam,2001,NA
Vietnam,2002,NA
Vietnam,2003,NA
Vietnam,2004,NA
Vietnam,2005,NA
Vietnam,2006,NA
Vietnam,2007,NA
Vietnam,2008,NA
Vietnam,2009,NA
Vietnam,2010,NA
Vietnam,2011,NA
Vietnam,2012,6
Vietnam,2013,4
Vietnam,2014,22
Vietnam,2015,NA
Vietnam,2016,NA
Vietnam,2017,NA
Vietnam,2018,NA
Italy,1989,NA
Italy,1990,NA
Italy,1991,NA
Italy,1992,NA
Italy,1993,NA
Italy,1994,NA
Italy,1995,NA
Italy,1996,NA
Italy,1997,18
Italy,1998,NA
Italy,1999,NA
Italy,2000,NA
Italy,2001,3
Italy,2002,NA
Italy,2003,NA
Italy,2004,NA
Italy,2005,NA
Italy,2006,NA
Italy,2007,NA
Italy,2008,NA
Italy,2009,NA
Italy,2010,NA
Italy,2011,NA
Italy,2012,NA
Italy,2013,NA
Italy,2014,NA
Italy,2015,6
Italy,2016,NA
Italy,2017,NA
Italy,2018,NA
Brazil,1989,NA
Brazil,1990,NA
Brazil,1991,NA
Brazil,1992,2
Brazil,1993,4
Brazil,1994,NA
Brazil,1995,NA
Brazil,1996,NA
Brazil,1997,NA
Brazil,1998,NA
Brazil,1999,NA
Brazil,2000,3
Brazil,2001,3
Brazil,2002,NA
Brazil,2003,4
Brazil,2004,NA
Brazil,2005,2
Brazil,2006,NA
Brazil,2007,NA
Brazil,2008,NA
Brazil,2009,NA
Brazil,2010,NA
Brazil,2011,NA
Brazil,2012,NA
Brazil,2013,NA
Brazil,2014,NA
Brazil,2015,7
Brazil,2016,NA
Brazil,2017,NA
Brazil,2018,NA
Vatican City,1989,NA
Vatican City,1990,NA
Vatican City,1991,NA
Vatican City,1992,NA
Vatican City,1993,24
Vatican City,1994,NA
Vatican City,1995,NA
Vatican City,1996,NA
Vatican City,1997,NA
Vatican City,1998,NA
Vatican City,1999,NA
Vatican City,2000,NA
Vatican City,2001,NA
Vatican City,2002,NA
Vatican City,2003,NA
Vatican City,2004,NA
Vatican City,2005,NA
Vatican City,2006,NA
Vatican City,2007,NA
Vatican City,2008,NA
Vatican City,2009,NA
Vatican City,2010,NA
Vatican City,2011,NA
Vatican City,2012,NA
Vatican City,2013,NA
Vatican City,2014,NA
Vatican City,2015,NA
Vatican City,2016,NA
Vatican City,2017,NA
Vatican City,2018,NA
Singapore,1989,NA
Singapore,1990,NA
Singapore,1991,NA
Singapore,1992,NA
Singapore,1993,NA
Singapore,1994,NA
Singapore,1995,NA
Singapore,1996,22
Singapore,1997,NA
Singapore,1998,NA
Singapore,1999,NA
Singapore,2000,NA
Singapore,2001,NA
Singapore,2002,NA
Singapore,2003,NA
Singapore,2004,NA
Singapore,2005,NA
Singapore,2006,NA
Singapore,2007,NA
Singapore,2008,NA
Singapore,2009,NA
Singapore,2010,NA
Singapore,2011,NA
Singapore,2012,NA
Singapore,2013,NA
Singapore,2014,NA
Singapore,2015,NA
Singapore,2016,NA
Singapore,2017,NA
Singapore,2018,NA
Bermuda,1989,NA
Bermuda,1990,15
Bermuda,1991,NA
Bermuda,1992,NA
Bermuda,1993,NA
Bermuda,1994,NA
Bermuda,1995,NA
Bermuda,1996,NA
Bermuda,1997,NA
Bermuda,1998,NA
Bermuda,1999,NA
Bermuda,2000,NA
Bermuda,2001,NA
Bermuda,2002,NA
Bermuda,2003,NA
Bermuda,2004,NA
Bermuda,2005,NA
Bermuda,2006,NA
Bermuda,2007,NA
Bermuda,2008,NA
Bermuda,2009,NA
Bermuda,2010,NA
Bermuda,2011,NA
Bermuda,2012,NA
Bermuda,2013,NA
Bermuda,2014,NA
Bermuda,2015,NA
Bermuda,2016,NA
Bermuda,2017,NA
Bermuda,2018,NA
Finland,1989,NA
Finland,1990,NA
Finland,1991,1
Finland,1992,NA
Finland,1993,NA
Finland,1994,NA
Finland,1995,NA
Finland,1996,NA
Finland,1997,NA
Finland,1998,NA
Finland,1999,NA
Finland,2000,NA
Finland,2001,8
Finland,2002,2
Finland,2003,NA
Finland,2004,NA
Finland,2005,2
Finland,2006,NA
Finland,2007,NA
Finland,2008,NA
Finland,2009,NA
Finland,2010,NA
Finland,2011,NA
Finland,2012,NA
Finland,2013,NA
Finland,2014,NA
Finland,2015,NA
Finland,2016,NA
Finland,2017,NA
Finland,2018,NA
Nicaragua,1989,NA
Nicaragua,1990,NA
Nicaragua,1991,NA
Nicaragua,1992,NA
Nicaragua,1993,NA
Nicaragua,1994,NA
Nicaragua,1995,NA
Nicaragua,1996,13
Nicaragua,1997,NA
Nicaragua,1998,NA
Nicaragua,1999,NA
Nicaragua,2000,NA
Nicaragua,2001,NA
Nicaragua,2002,NA
Nicaragua,2003,NA
Nicaragua,2004,NA
Nicaragua,2005,NA
Nicaragua,2006,NA
Nicaragua,2007,NA
Nicaragua,2008,0
Nicaragua,2009,NA
Nicaragua,2010,NA
Nicaragua,2011,NA
Nicaragua,2012,NA
Nicaragua,2013,NA
Nicaragua,2014,NA
Nicaragua,2015,NA
Nicaragua,2016,NA
Nicaragua,2017,NA
Nicaragua,2018,NA
Spain,1989,NA
Spain,1990,NA
Spain,1991,NA
Spain,1992,NA
Spain,1993,NA
Spain,1994,NA
Spain,1995,NA
Spain,1996,NA
Spain,1997,NA
Spain,1998,NA
Spain,1999,NA
Spain,2000,NA
Spain,2001,NA
Spain,2002,NA
Spain,2003,9
Spain,2004,NA
Spain,2005,NA
Spain,2006,NA
Spain,2007,NA
Spain,2008,NA
Spain,2009,NA
Spain,2010,NA
Spain,2011,NA
Spain,2012,NA
Spain,2013,NA
Spain,2014,NA
Spain,2015,3
Spain,2016,NA
Spain,2017,1
Spain,2018,NA
Laos,1989,NA
Laos,1990,NA
Laos,1991,NA
Laos,1992,NA
Laos,1993,NA
Laos,1994,NA
Laos,1995,NA
Laos,1996,NA
Laos,1997,2
Laos,1998,NA
Laos,1999,NA
Laos,2000,NA
Laos,2001,NA
Laos,2002,NA
Laos,2003,NA
Laos,2004,NA
Laos,2005,NA
Laos,2006,NA
Laos,2007,NA
Laos,2008,NA
Laos,2009,NA
Laos,2010,10
Laos,2011,NA
Laos,2012,NA
Laos,2013,NA
Laos,2014,NA
Laos,2015,NA
Laos,2016,NA
Laos,2017,NA
Laos,2018,NA
Macao (Macau),1989,NA
Macao (Macau),1990,3
Macao (Macau),1991,NA
Macao (Macau),1992,9
Macao (Macau),1993,NA
Macao (Macau),1994,NA
Macao (Macau),1995,NA
Macao (Macau),1996,NA
Macao (Macau),1997,NA
Macao (Macau),1998,NA
Macao (Macau),1999,NA
Macao (Macau),2000,NA
Macao (Macau),2001,NA
Macao (Macau),2002,NA
Macao (Macau),2003,NA
Macao (Macau),2004,NA
Macao (Macau),2005,NA
Macao (Macau),2006,NA
Macao (Macau),2007,NA
Macao (Macau),2008,NA
Macao (Macau),2009,NA
Macao (Macau),2010,NA
Macao (Macau),2011,NA
Macao (Macau),2012,NA
Macao (Macau),2013,NA
Macao (Macau),2014,NA
Macao (Macau),2015,NA
Macao (Macau),2016,NA
Macao (Macau),2017,NA
Macao (Macau),2018,NA
Somalia,1989,NA
Somalia,1990,11
Somalia,1991,NA
Somalia,1992,NA
Somalia,1993,NA
Somalia,1994,NA
Somalia,1995,NA
Somalia,1996,NA
Somalia,1997,NA
Somalia,1998,NA
Somalia,1999,NA
Somalia,2000,NA
Somalia,2001,NA
Somalia,2002,NA
Somalia,2003,NA
Somalia,2004,NA
Somalia,2005,NA
Somalia,2006,NA
Somalia,2007,NA
Somalia,2008,NA
Somalia,2009,NA
Somalia,2010,NA
Somalia,2011,NA
Somalia,2012,NA
Somalia,2013,NA
Somalia,2014,NA
Somalia,2015,NA
Somalia,2016,NA
Somalia,2017,NA
Somalia,2018,NA
Guyana,1989,NA
Guyana,1990,NA
Guyana,1991,NA
Guyana,1992,NA
Guyana,1993,NA
Guyana,1994,NA
Guyana,1995,11
Guyana,1996,NA
Guyana,1997,NA
Guyana,1998,NA
Guyana,1999,NA
Guyana,2000,NA
Guyana,2001,NA
Guyana,2002,NA
Guyana,2003,NA
Guyana,2004,NA
Guyana,2005,NA
Guyana,2006,NA
Guyana,2007,NA
Guyana,2008,NA
Guyana,2009,NA
Guyana,2010,NA
Guyana,2011,NA
Guyana,2012,NA
Guyana,2013,NA
Guyana,2014,NA
Guyana,2015,NA
Guyana,2016,NA
Guyana,2017,NA
Guyana,2018,NA
Grenada,1989,NA
Grenada,1990,NA
Grenada,1991,NA
Grenada,1992,NA
Grenada,1993,NA
Grenada,1994,NA
Grenada,1995,NA
Grenada,1996,NA
Grenada,1997,4
Grenada,1998,NA
Grenada,1999,NA
Grenada,2000,NA
Grenada,2001,NA
Grenada,2002,NA
Grenada,2003,NA
Grenada,2004,NA
Grenada,2005,NA
Grenada,2006,NA
Grenada,2007,NA
Grenada,2008,NA
Grenada,2009,NA
Grenada,2010,NA
Grenada,2011,NA
Grenada,2012,NA
Grenada,2013,NA
Grenada,2014,5
Grenada,2015,NA
Grenada,2016,NA
Grenada,2017,NA
Grenada,2018,NA
Turkey,1989,NA
Turkey,1990,NA
Turkey,1991,NA
Turkey,1992,NA
Turkey,1993,NA
Turkey,1994,NA
Turkey,1995,NA
Turkey,1996,NA
Turkey,1997,NA
Turkey,1998,NA
Turkey,1999,NA
Turkey,2000,NA
Turkey,2001,NA
Turkey,2002,NA
Turkey,2003,NA
Turkey,2004,NA
Turkey,2005,NA
Turkey,2006,NA
Turkey,2007,NA
Turkey,2008,NA
Turkey,2009,NA
Turkey,2010,NA
Turkey,2011,NA
Turkey,2012,NA
Turkey,2013,NA
Turkey,2014,NA
Turkey,2015,NA
Turkey,2016,NA
Turkey,2017,9
Turkey,2018,NA
Cook Islands,1989,NA
Cook Islands,1990,NA
Cook Islands,1991,NA
Cook Islands,1992,NA
Cook Islands,1993,NA
Cook Islands,1994,5
Cook Islands,1995,NA
Cook Islands,1996,NA
Cook Islands,1997,NA
Cook Islands,1998,NA
Cook Islands,1999,NA
Cook Islands,2000,3
Cook Islands,2001,NA
Cook Islands,2002,NA
Cook Islands,2003,NA
Cook Islands,2004,NA
Cook Islands,2005,NA
Cook Islands,2006,NA
Cook Islands,2007,NA
Cook Islands,2008,NA
Cook Islands,2009,NA
Cook Islands,2010,NA
Cook Islands,2011,NA
Cook Islands,2012,NA
Cook Islands,2013,NA
Cook Islands,2014,NA
Cook Islands,2015,NA
Cook Islands,2016,NA
Cook Islands,2017,NA
Cook Islands,2018,NA
Guatemala,1989,NA
Guatemala,1990,NA
Guatemala,1991,NA
Guatemala,1992,NA
Guatemala,1993,NA
Guatemala,1994,NA
Guatemala,1995,NA
Guatemala,1996,NA
Guatemala,1997,3
Guatemala,1998,2
Guatemala,1999,NA
Guatemala,2000,NA
Guatemala,2001,NA
Guatemala,2002,NA
Guatemala,2003,NA
Guatemala,2004,NA
Guatemala,2005,NA
Guatemala,2006,NA
Guatemala,2007,NA
Guatemala,2008,NA
Guatemala,2009,2
Guatemala,2010,NA
Guatemala,2011,NA
Guatemala,2012,NA
Guatemala,2013,NA
Guatemala,2014,NA
Guatemala,2015,NA
Guatemala,2016,NA
Guatemala,2017,NA
Guatemala,2018,NA
Bulgaria,1989,NA
Bulgaria,1990,NA
Bulgaria,1991,NA
Bulgaria,1992,NA
Bulgaria,1993,NA
Bulgaria,1994,NA
Bulgaria,1995,NA
Bulgaria,1996,NA
Bulgaria,1997,NA
Bulgaria,1998,NA
Bulgaria,1999,NA
Bulgaria,2000,NA
Bulgaria,2001,7
Bulgaria,2002,NA
Bulgaria,2003,NA
Bulgaria,2004,NA
Bulgaria,2005,NA
Bulgaria,2006,NA
Bulgaria,2007,NA
Bulgaria,2008,NA
Bulgaria,2009,NA
Bulgaria,2010,NA
Bulgaria,2011,NA
Bulgaria,2012,NA
Bulgaria,2013,NA
Bulgaria,2014,NA
Bulgaria,2015,NA
Bulgaria,2016,NA
Bulgaria,2017,NA
Bulgaria,2018,NA
Panama,1989,NA
Panama,1990,NA
Panama,1991,NA
Panama,1992,NA
Panama,1993,NA
Panama,1994,NA
Panama,1995,NA
Panama,1996,2
Panama,1997,NA
Panama,1998,NA
Panama,1999,NA
Panama,2000,NA
Panama,2001,NA
Panama,2002,NA
Panama,2003,NA
Panama,2004,NA
Panama,2005,4
Panama,2006,NA
Panama,2007,NA
Panama,2008,NA
Panama,2009,NA
Panama,2010,NA
Panama,2011,NA
Panama,2012,NA
Panama,2013,NA
Panama,2014,NA
Panama,2015,NA
Panama,2016,NA
Panama,2017,NA
Panama,2018,NA
India,1989,NA
India,1990,NA
India,1991,NA
India,1992,NA
India,1993,NA
India,1994,NA
India,1995,NA
India,1996,NA
India,1997,NA
India,1998,NA
India,1999,6
India,2000,NA
India,2001,NA
India,2002,NA
India,2003,NA
India,2004,NA
India,2005,NA
India,2006,NA
India,2007,NA
India,2008,NA
India,2009,NA
India,2010,NA
India,2011,NA
India,2012,NA
India,2013,NA
India,2014,NA
India,2015,NA
India,2016,NA
India,2017,NA
India,2018,NA
Uganda,1989,NA
Uganda,1990,NA
Uganda,1991,NA
Uganda,1992,NA
Uganda,1993,NA
Uganda,1994,NA
Uganda,1995,NA
Uganda,1996,NA
Uganda,1997,NA
Uganda,1998,NA
Uganda,1999,NA
Uganda,2000,NA
Uganda,2001,NA
Uganda,2002,4
Uganda,2003,NA
Uganda,2004,NA
Uganda,2005,NA
Uganda,2006,NA
Uganda,2007,NA
Uganda,2008,NA
Uganda,2009,NA
Uganda,2010,NA
Uganda,2011,NA
Uganda,2012,NA
Uganda,2013,NA
Uganda,2014,NA
Uganda,2015,NA
Uganda,2016,NA
Uganda,2017,NA
Uganda,2018,NA
Oman,1989,NA
Oman,1990,NA
Oman,1991,NA
Oman,1992,2
Oman,1993,NA
Oman,1994,NA
Oman,1995,NA
Oman,1996,2
Oman,1997,NA
Oman,1998,NA
Oman,1999,NA
Oman,2000,NA
Oman,2001,NA
Oman,2002,NA
Oman,2003,NA
Oman,2004,NA
Oman,2005,NA
Oman,2006,NA
Oman,2007,NA
Oman,2008,NA
Oman,2009,NA
Oman,2010,NA
Oman,2011,NA
Oman,2012,NA
Oman,2013,NA
Oman,2014,NA
Oman,2015,NA
Oman,2016,NA
Oman,2017,NA
Oman,2018,NA
Indonesia,1989,NA
Indonesia,1990,NA
Indonesia,1991,NA
Indonesia,1992,NA
Indonesia,1993,NA
Indonesia,1994,NA
Indonesia,1995,2
Indonesia,1996,NA
Indonesia,1997,NA
Indonesia,1998,NA
Indonesia,1999,NA
Indonesia,2000,NA
Indonesia,2001,NA
Indonesia,2002,NA
Indonesia,2003,NA
Indonesia,2004,NA
Indonesia,2005,NA
Indonesia,2006,NA
Indonesia,2007,NA
Indonesia,2008,NA
Indonesia,2009,NA
Indonesia,2010,NA
Indonesia,2011,NA
Indonesia,2012,NA
Indonesia,2013,1
Indonesia,2014,NA
Indonesia,2015,NA
Indonesia,2016,NA
Indonesia,2017,NA
Indonesia,2018,NA
Honduras,1989,NA
Honduras,1990,NA
Honduras,1991,NA
Honduras,1992,NA
Honduras,1993,NA
Honduras,1994,NA
Honduras,1995,NA
Honduras,1996,NA
Honduras,1997,NA
Honduras,1998,3
Honduras,1999,NA
Honduras,2000,NA
Honduras,2001,NA
Honduras,2002,NA
Honduras,2003,NA
Honduras,2004,NA
Honduras,2005,NA
Honduras,2006,NA
Honduras,2007,NA
Honduras,2008,NA
Honduras,2009,NA
Honduras,2010,NA
Honduras,2011,NA
Honduras,2012,NA
Honduras,2013,NA
Honduras,2014,NA
Honduras,2015,NA
Honduras,2016,NA
Honduras,2017,NA
Honduras,2018,NA
Kenya,1989,NA
Kenya,1990,NA
Kenya,1991,NA
Kenya,1992,NA
Kenya,1993,NA
Kenya,1994,NA
Kenya,1995,NA
Kenya,1996,NA
Kenya,1997,NA
Kenya,1998,NA
Kenya,1999,NA
Kenya,2000,NA
Kenya,2001,NA
Kenya,2002,NA
Kenya,2003,NA
Kenya,2004,NA
Kenya,2005,3
Kenya,2006,NA
Kenya,2007,NA
Kenya,2008,NA
Kenya,2009,NA
Kenya,2010,NA
Kenya,2011,NA
Kenya,2012,NA
Kenya,2013,NA
Kenya,2014,NA
Kenya,2015,NA
Kenya,2016,NA
Kenya,2017,NA
Kenya,2018,NA
French Polynesia,1989,NA
French Polynesia,1990,NA
French Polynesia,1991,NA
French Polynesia,1992,NA
French Polynesia,1993,NA
French Polynesia,1994,NA
French Polynesia,1995,2
French Polynesia,1996,NA
French Polynesia,1997,NA
French Polynesia,1998,NA
French Polynesia,1999,NA
French Polynesia,2000,NA
French Polynesia,2001,NA
French Polynesia,2002,NA
French Polynesia,2003,NA
French Polynesia,2004,NA
French Polynesia,2005,NA
French Polynesia,2006,NA
French Polynesia,2007,NA
French Polynesia,2008,NA
French Polynesia,2009,NA
French Polynesia,2010,NA
French Polynesia,2011,NA
French Polynesia,2012,NA
French Polynesia,2013,NA
French Polynesia,2014,NA
French Polynesia,2015,NA
French Polynesia,2016,NA
French Polynesia,2017,NA
French Polynesia,2018,NA
Israel,1989,NA
Israel,1990,NA
Israel,1991,NA
Israel,1992,NA
Israel,1993,NA
Israel,1994,NA
Israel,1995,NA
Israel,1996,NA
Israel,1997,1
Israel,1998,NA
Israel,1999,NA
Israel,2000,NA
Israel,2001,NA
Israel,2002,NA
Israel,2003,NA
Israel,2004,2
Israel,2005,NA
Israel,2006,NA
Israel,2007,NA
Israel,2008,NA
Israel,2009,NA
Israel,2010,NA
Israel,2011,NA
Israel,2012,NA
Israel,2013,NA
Israel,2014,NA
Israel,2015,NA
Israel,2016,NA
Israel,2017,NA
Israel,2018,NA
St. Lucia,1989,NA
St. Lucia,1990,NA
St. Lucia,1991,NA
St. Lucia,1992,NA
St. Lucia,1993,NA
St. Lucia,1994,2
St. Lucia,1995,NA
St. Lucia,1996,NA
St. Lucia,1997,NA
St. Lucia,1998,NA
St. Lucia,1999,NA
St. Lucia,2000,NA
St. Lucia,2001,NA
St. Lucia,2002,NA
St. Lucia,2003,NA
St. Lucia,2004,NA
St. Lucia,2005,NA
St. Lucia,2006,NA
St. Lucia,2007,NA
St. Lucia,2008,NA
St. Lucia,2009,NA
St. Lucia,2010,NA
St. Lucia,2011,NA
St. Lucia,2012,NA
St. Lucia,2013,NA
St. Lucia,2014,NA
St. Lucia,2015,NA
St. Lucia,2016,NA
St. Lucia,2017,NA
St. Lucia,2018,NA
Maldives,1989,NA
Maldives,1990,NA
Maldives,1991,NA
Maldives,1992,NA
Maldives,1993,NA
Maldives,1994,NA
Maldives,1995,NA
Maldives,1996,NA
Maldives,1997,NA
Maldives,1998,NA
Maldives,1999,NA
Maldives,2000,NA
Maldives,2001,NA
Maldives,2002,NA
Maldives,2003,NA
Maldives,2004,NA
Maldives,2005,NA
Maldives,2006,NA
Maldives,2007,NA
Maldives,2008,NA
Maldives,2009,NA
Maldives,2010,NA
Maldives,2011,1
Maldives,2012,NA
Maldives,2013,NA
Maldives,2014,NA
Maldives,2015,NA
Maldives,2016,NA
Maldives,2017,NA
Maldives,2018,NA
Bolivia,1989,NA
Bolivia,1990,NA
Bolivia,1991,NA
Bolivia,1992,NA
Bolivia,1993,NA
Bolivia,1994,NA
Bolivia,1995,0
Bolivia,1996,NA
Bolivia,1997,NA
Bolivia,1998,NA
Bolivia,1999,NA
Bolivia,2000,NA
Bolivia,2001,NA
Bolivia,2002,NA
Bolivia,2003,NA
Bolivia,2004,NA
Bolivia,2005,NA
Bolivia,2006,NA
Bolivia,2007,NA
Bolivia,2008,NA
Bolivia,2009,NA
Bolivia,2010,NA
Bolivia,2011,NA
Bolivia,2012,NA
Bolivia,2013,NA
Bolivia,2014,NA
Bolivia,2015,NA
Bolivia,2016,NA
Bolivia,2017,NA
Bolivia,2018,NA
Switzerland,1989,NA
Switzerland,1990,NA
Switzerland,1991,NA
Switzerland,1992,NA
Switzerland,1993,NA
Switzerland,1994,NA
Switzerland,1995,NA
Switzerland,1996,NA
Switzerland,1997,NA
Switzerland,1998,NA
Switzerland,1999,NA
Switzerland,2000,NA
Switzerland,2001,NA
Switzerland,2002,NA
Switzerland,2003,NA
Switzerland,2004,NA
Switzerland,2005,NA
Switzerland,2006,NA
Switzerland,2007,NA
Switzerland,2008,NA
Switzerland,2009,NA
Switzerland,2010,NA
Switzerland,2011,NA
Switzerland,2012,NA
Switzerland,2013,NA
Switzerland,2014,NA
Switzerland,2015,NA
Switzerland,2016,NA
Switzerland,2017,0
Switzerland,2018,NA
